source_row,set,bin,k,Q2,xB,t,phi,dsig,dsig_err,delsig,delsig_err,exp d4sig (nb/Gev^4),d4sig_stat,d4sig_sys+,d4sig_sys-,exp del4sig (nb/GeV^4),del4sig_stat,del4sig_sys+,del4sig_sys-,ReH,ReHt,ReE,ReEt,ImH,ImHt,ImE,ImEt,DVCS,experiment,link,flag_xsec_systematic_missing,flag_xsec_diff_systematic_missing,xsec_total_err_recomputed,xsec_diff_total_err_recomputed,xsec_systematic_ratio,xsec_diff_systematic_ratio,flag_bad_kinematics,flag_xsec_nonpositive_or_missing,flag_xsec_error_nonpositive_or_missing,flag_xsec_systematic_anomaly,flag_xsec_diff_missing,flag_xsec_diff_error_nonpositive_or_missing,flag_xsec_diff_systematic_anomaly,flag_exact_duplicate,phi_centered_rad,local_xsec_prediction,local_xsec_pull,local_xsec_diff_prediction,local_xsec_diff_pull,local_xsec_multiplicative_ratio,flag_local_xsec_catastrophic_outlier,flag_local_xsec_diff_catastrophic_outlier,exclude_reason,common_valid
20,2,8,5.55,1.51,0.359,-0.237,255.0,0.093538422,0.006281153,-0.010455403,0.005512085,0.0889,0.0056,0.0028448,0.0028448,-0.0114,0.0055,-0.0003648,-0.0003648,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006281153320848012,0.005512084817925065,0.032,0.031999999999999994,False,False,False,False,False,False,False,False,-1.8325957145940461,0.08453831324821204,0.6944085789644603,-0.010141867396022717,-0.22824986289867852,1.051594201305882,False,False,,True
21,2,9,5.55,1.51,0.359,-0.237,285.0,0.099942757,0.006547814,-0.013279964,0.005911465,0.1007,0.0057,0.0032224,0.0032224,-0.0115,0.0059,-0.000368,-0.000368,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006547813509867244,0.005911465469746059,0.032,0.032,False,False,False,False,False,False,False,False,-1.3089969389957472,0.09306279181391902,1.1663753365260123,-0.015543367973886385,0.6839874130331473,1.0820651093441482,False,False,,True
22,2,10,5.55,1.51,0.359,-0.237,315.0,0.094983057,0.006436795,-0.024386513,0.006232617,0.1045,0.0055,0.003344,0.003344,-0.0199,0.0062,-0.0006368,-0.0006368,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006436795476011336,0.00623261696560923,0.032,0.031999999999999994,False,False,False,False,False,False,False,False,-0.7853981633974483,0.10076869863041607,0.5796830711011012,-0.017373598656667842,-0.40535161349919513,1.0370283770684487,False,False,,True
23,2,11,5.55,1.51,0.359,-0.237,345.0,0.119633785,0.007090622,0.008878658,0.006800215,0.1229,0.0059,0.0039328,0.0039328,0.00169,0.0068,5.408e-05,5.408e-05,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.007090621682194024,0.006800215044129119,0.032,0.007952941176470588,False,False,False,False,False,False,False,False,-0.2617993877991494,0.11356553829177676,1.3164518044537536,-0.008679342086945251,1.5248550258564977,1.0821944918205801,False,False,,True
24,3,0,5.55,1.52,0.361,-0.298,15.0,0.110614284,0.009354229,-0.008714083,0.008101961,0.1074,0.0087,0.0034368,0.0034368,0.00557,0.0081,0.00017824,0.00017824,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.009354228682259162,0.008101960842758991,0.032,0.022004938271604938,False,False,False,False,False,False,False,False,0.2617993877991494,0.09675209188476708,1.1382988888680148,0.00603669495248461,-0.05760271637226084,1.1100535183044384,False,False,,True
25,3,1,5.55,1.52,0.361,-0.298,45.0,0.087134983,0.006587746,0.005823357,0.006405496,0.085,0.006,0.00272,0.00272,0.00829,0.0064,0.00026528,0.00026528,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006587746200332857,0.006405495568525514,0.032,0.032,False,False,False,False,False,False,False,False,0.7853981633974483,0.08574408952629509,-0.1129505454016252,0.012522816757838881,-0.6608101922101924,1.008753994427001,False,False,,True
26,3,2,5.55,1.52,0.361,-0.298,75.0,0.066449525,0.006131393,0.021286191,0.006026375,0.0706,0.0057,0.0022592,0.0022592,0.0176,0.006,0.0005632,0.0005632,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.0061313933685582436,0.00602637488379208,0.032,0.032,False,False,False,False,False,False,False,False,1.3089969389957472,0.07346058424484234,-0.46654717335726703,0.014820456171174388,0.4612298243013705,1.0405181904368603,False,False,,True
27,3,3,5.55,1.52,0.361,-0.298,105.0,0.069933555,0.006240114,0.016704681,0.005910876,0.0635,0.0059,0.002032,0.002032,0.0112,0.0059,0.0003584,0.0003584,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006240114101520901,0.0059108756170300186,0.032,0.032,False,False,False,False,False,False,False,False,1.8325957145940461,0.06903824527717825,-0.8875230784367253,0.008063743505648063,0.530590846018814,1.0872164610579251,False,False,,True
28,3,4,5.55,1.52,0.361,-0.298,135.0,0.060145794,0.006737474,0.002986863,0.005702026,0.0658,0.0064,0.0021056,0.0021056,0.00475,0.0057,0.000152,0.000152,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006737473663028301,0.005702026306498419,0.032,0.02666666666666667,False,False,False,False,False,False,False,False,2.356194490192345,0.06563968229363827,0.023794928838307017,0.0032318135365959413,0.2662538511395202,1.0024423900415078,False,False,,True
29,3,5,5.55,1.52,0.361,-0.298,165.0,0.063090555,0.008423975,0.003759141,0.006600557,0.0603,0.0082,0.0019296,0.0019296,-0.00268,0.0066,-8.576e-05,-8.576e-05,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.008423975080684891,0.006600557156604282,0.032,0.012993939393939394,False,False,False,False,False,False,False,False,2.8797932657906435,0.058330223584707554,0.23382980082750882,0.003502404396767977,-0.9366488691916082,1.0337693959364296,False,False,,True
