set,n,chi2_per_point,k,q_squared,x_b,t
159,16,1.2103425558276713,5.88,1.129,0.124,-0.152
339,24,1.1942999908295049,8.521,3.65,0.367,-0.204594263
121,11,1.1906584408558352,5.75,2.48,0.399,-0.34
37,16,1.1835361772000272,5.75,1.39,0.155,-0.2
320,17,1.1778114069294205,5.88,3.263,0.4,-0.872
42,22,1.1750747948187792,5.75,1.45,0.184,-0.15
218,18,1.172359597167219,5.88,1.934,0.215,-0.604
114,11,1.168476172384283,5.75,2.35,0.365,-0.45
219,18,1.1647126263434837,5.88,1.933,0.215,-0.866
263,18,1.1613147851166212,5.88,2.165,0.305,-0.606
258,17,1.1596649914171786,5.88,2.162,0.304,-0.154
149,24,1.1588575232463108,5.7572,2.19,0.342,-0.231
241,23,1.156493000039982,5.88,1.998,0.274,-0.204
120,12,1.1533515255362106,5.75,2.48,0.4,-0.26
267,20,1.149060895295174,5.88,2.653,0.304,-0.154
322,9,1.1472460004559397,5.88,2.847,0.432,-0.276
50,18,1.1450487732485284,5.75,1.63,0.185,-0.26
361,24,1.1446476671335126,8.847,5.36,0.485,-0.508514038
289,19,1.1413650773763042,5.88,2.853,0.335,-0.605
282,16,1.1406369528305236,5.88,2.2990000000000004,0.335,-0.87
226,13,1.1363199024872264,5.88,1.848,0.245,-0.448
180,17,1.131293478804836,5.88,1.427,0.155,-0.34
196,18,1.1198150452041842,5.88,1.672,0.185,-0.203
350,24,1.1129920324771296,4.487,2.708,0.483,-0.390576327
366,24,1.105904474864129,10.992,7.115,0.499,-0.612896976
198,18,1.1042733019398432,5.88,1.672,0.185,-0.34
94,14,1.1001868075777288,5.75,2.1,0.305,-0.45
165,21,1.0990860913359561,5.88,1.131,0.125,-0.864
225,19,1.0958699905652367,5.88,1.848,0.245,-0.341
156,24,1.0888418089375935,5.7572,2.36,0.371,-0.325
157,24,1.0887911222466249,5.7572,2.375,0.373,-0.372
378,24,1.0812761205788384,10.591,8.513,0.613,-1.328234507
61,18,1.0805465417310498,5.75,1.88,0.215,-0.2
304,23,1.0723954071138848,5.88,3.052,0.365,-0.448
220,13,1.0680830980123146,5.88,1.927,0.215,-1.382
164,20,1.0649171795067478,5.88,1.131,0.125,-0.603
72,24,1.0588013072692273,5.75,2.12,0.245,-0.15
9,24,1.0564663925557054,5.55,1.98,0.356,-0.242
117,24,1.0484938263800885,5.75,2.97,0.365,-0.34
158,16,1.040970252696741,5.88,1.129,0.124,-0.108
27,18,1.0375481470158876,5.75,1.11,0.126,-0.34
32,18,1.0343638253995069,5.75,1.27,0.154,-0.26
31,18,1.031252892801033,5.75,1.27,0.154,-0.2
328,10,1.0281702884484274,5.88,3.588,0.429,-0.277
57,19,1.0267507872509207,5.75,1.64,0.214,-0.34
43,20,1.0220624983215867,5.75,1.45,0.184,-0.2
215,18,1.0207655289532684,5.88,1.936,0.215,-0.262
105,13,1.0199114891436505,5.75,2.23,0.335,-0.45
100,20,1.0189387376505437,5.75,2.58,0.305,-0.45
28,19,1.0186087426868553,5.75,1.11,0.126,-0.45
315,8,1.016620362125928,5.88,3.204,0.391,-0.215
29,20,1.0162402706585707,5.75,1.27,0.154,-0.11
97,24,1.0101980998847058,5.75,2.58,0.304,-0.2
53,24,0.9994972526964051,5.75,1.64,0.214,-0.11
228,16,0.9798026285861547,5.88,1.8465,0.245,-0.8685
35,16,0.9749527096035603,5.75,1.39,0.155,-0.11
211,17,0.9685972331914153,5.88,1.684,0.215,-1.384
68,24,0.9653249572010419,5.75,1.79,0.244,-0.26
229,17,0.9630265677790267,5.88,1.845,0.245,-1.387
125,21,0.9582602546928491,5.75,3.18,0.4,-0.34
199,18,0.9545475519969006,5.88,1.672,0.185,-0.447
274,17,0.951744617392468,5.88,2.635,0.305,-1.389
356,24,0.9413525418695502,8.851,4.558,0.504,-0.547491577
79,22,0.939776231564797,5.75,1.94,0.274,-0.2
116,20,0.938368144803875,5.75,2.97,0.365,-0.26
101,8,0.9331578799160459,5.75,2.22,0.333,-0.16
353,22,0.9317860829723049,4.487,2.717,0.485,-0.539820254
67,23,0.9288402935778687,5.75,1.79,0.244,-0.2
108,24,0.9271007065982347,5.75,2.78,0.335,-0.26
184,13,0.9248289277779185,5.88,1.427,0.156,-1.38
345,24,0.9247054191458793,10.591,4.55,0.37,-0.27194461
327,13,0.9136429356701972,5.88,3.134,0.465,-1.416
44,20,0.909655192873496,5.75,1.45,0.184,-0.26
26,18,0.8930803262942296,5.75,1.11,0.126,-0.26
355,24,0.8899523073577678,8.851,4.528,0.501,-0.479541698
126,22,0.8800626775381811,5.75,3.18,0.4,-0.45
237,16,0.8740605462876846,5.88,2.171,0.245,-0.866
83,13,0.8727818168623951,5.75,2.35,0.274,-0.11
360,24,0.8693069667243867,8.847,5.339,0.483,-0.445598869
160,15,0.8679065705488127,5.88,1.13,0.125,-0.203
99,22,0.8661816896586394,5.75,2.58,0.305,-0.34
24,16,0.8659004675014469,5.75,1.11,0.126,-0.15
217,16,0.8647147782877244,5.88,1.935,0.215,-0.447
299,15,0.8635155797575655,5.88,2.418,0.365,-1.404
66,24,0.8618407842125544,5.75,1.79,0.244,-0.15
362,24,0.8538849387001384,8.847,5.371,0.486,-0.56958964
163,20,0.8534496524192449,5.88,1.131,0.125,-0.446
347,24,0.8528759302569234,10.591,4.585,0.373,-0.398799717
151,20,0.8478117175154379,5.7572,2.193,0.342,-0.371
348,24,0.8477608556043559,10.591,4.568,0.371,-0.483372835
323,10,0.8408019307186745,5.88,2.982,0.447,-0.346
364,24,0.8390045620985188,10.992,7.044,0.494,-0.432560756
334,24,0.8388673884883863,7.383,3.167,0.363,-0.210832279
86,22,0.8358285307747993,5.75,2.35,0.275,-0.26
336,24,0.8339422552236528,7.383,3.18,0.365,-0.384877942
176,16,0.8331767452660936,5.88,1.425,0.155,-0.108
291,14,0.831949400929445,5.88,2.8345000000000002,0.335,-1.392
59,21,0.8319023404730382,5.75,1.88,0.215,-0.11
90,12,0.8314328125180372,5.75,2.1,0.304,-0.15
