set,experiment,k,q_squared,x_b,t,ReH,ImH,ReH_algorithmic_std,ImH_algorithmic_std,xsec_chi2,diff_chi2,joint_chi2
172,e1-DVCS2 Hall B,5.879999999999999,1.3024,0.15419999999999998,-0.44699999999999995,-2.4248044,2.4867058,0.011898133,0.039394658,1.0207138777070917,0.0886422432445031,0.5546780604757974
182,e1-DVCS2 Hall B,5.879999999999999,1.4269999999999998,0.15600000000000003,-0.6032999999999998,-1.2487938,1.4164028,0.038692277,0.008502132,1.0391120537210852,0.09191273495813419,0.5655123943396096
186,e1-DVCS2 Hall B,5.879999999999999,1.4870909090909095,0.1841818181818182,-0.15309090909090908,-1.4922034,5.5500526,0.01426477,0.038656674,0.11405644927225672,0.3177320116183878,0.21589423044532227
188,e1-DVCS2 Hall B,5.879999999999999,1.4878,0.1841,-0.26210000000000006,-1.8771858,4.155913,0.051913954,0.05273053,0.3475744385704756,0.24036816238893718,0.2939713004797064
189,e1-DVCS2 Hall B,5.879999999999999,1.4881000000000002,0.1841,-0.3405,-2.12488,3.558651,0.017943505,0.015426366,0.7899617557226513,0.178719892371843,0.4843408240472471
190,e1-DVCS2 Hall B,5.879999999999999,1.4882,0.1841,-0.4473,-2.298106,2.9283347,0.06772801,0.010092896,1.4550742206167966,0.1470472495032086,0.8010607350600026
200,e1-DVCS2 Hall B,5.879999999999999,1.670578947368421,0.185,-0.6039999999999999,-1.4588286,1.7817227,0.029939335,0.03478693,1.36889512041033,0.19581639394595582,0.7823557571781429
202,e1-DVCS2 Hall B,5.88,1.6673749999999998,0.18562499999999998,-1.3792499999999999,-0.92061305,0.24429607,0.010583506,0.029393485,1.063424120262293,0.0023912651333169834,0.5329076926978049
205,e1-DVCS2 Hall B,5.879999999999999,1.6848181818181815,0.21400000000000005,-0.20327272727272724,-0.60395753,4.8895626,0.056884307,0.01477717,0.17158918917190202,0.5411337035926438,0.3563614463822729
206,e1-DVCS2 Hall B,5.879999999999999,1.6855999999999998,0.21400000000000002,-0.2622,-1.1556392,4.2152433,0.017155545,0.033061095,0.3517594141336381,0.4421865412382943,0.3969729776859662
207,e1-DVCS2 Hall B,5.879999999999999,1.685526315789474,0.2142105263157895,-0.34063157894736845,-1.7233624,3.7421286,0.09381246,0.038205523,0.8704740505958406,0.2943850566505993,0.5824295536232199
208,e1-DVCS2 Hall B,5.88,1.685,0.214625,-0.4475,-2.382058,3.2327056,0.11492,0.05090359,1.7887052631945768,0.22532327743106007,1.0070142703128184
211,e1-DVCS2 Hall B,5.88,1.6822941176470587,0.21494117647058822,-1.3808235294117648,-1.0951535,0.326478,0.043774683,0.029123904,0.7305824326920773,0.005182292908099682,0.3678823628000885
212,e1-DVCS2 Hall B,5.879999999999999,1.931,0.21490909090909094,-0.10854545454545454,3.9704263,5.4659853,0.04160557,0.027460475,0.7178619382704553,0.10056655826540627,0.4092142482679308
213,e1-DVCS2 Hall B,5.879999999999999,1.9325999999999997,0.215,-0.15309999999999999,1.0347608,5.7246523,0.043132503,0.053821832,0.3342866553985281,0.19048263292702555,0.26238464416277685
219,e1-DVCS2 Hall B,5.879999999999999,1.9312222222222222,0.21499999999999997,-0.8682777777777777,-0.7423662,0.97981,0.29711133,0.052863583,0.3249231026345559,0.10013871993058507,0.2125309112825705
225,e1-DVCS2 Hall B,5.879999999999999,1.8476315789473687,0.244578947368421,-0.3411578947368421,-0.55172116,3.9814653,0.12702678,0.07520204,0.600516668032081,0.31848994532014296,0.459503306676112
229,e1-DVCS2 Hall B,5.88,1.8435882352941175,0.24452941176470588,-1.3872941176470588,-0.8392658,0.41365218,0.034174427,0.0053708716,1.362740535140074,0.0109698143317311,0.6868551747359026
231,e1-DVCS2 Hall B,5.88,2.1675,0.245,-0.15325,4.1871824,4.452543,0.05218251,0.05729945,0.3764604478696933,0.2975205273016294,0.33699048758566136
234,e1-DVCS2 Hall B,5.879999999999999,2.1721999999999997,0.24509999999999996,-0.34060000000000007,-0.25942323,3.8109152,0.068651974,0.042486344,0.8081866484436734,0.3872212417914704,0.5977039451175719
247,e1-DVCS2 Hall B,5.88,1.990076923076923,0.27492307692307694,-1.401923076923077,-0.9240607,0.61029196,0.027638644,0.01720117,1.5971852679054086,0.030718975326468504,0.8139521216159386
251,e1-DVCS2 Hall B,5.879999999999999,2.4038181818181816,0.27500000000000013,-0.2622727272727273,6.1673336,4.6693563,0.7037188,0.09300341,0.570552097829168,0.656629026825966,0.613590562327567
