set,n,chi2_per_point,pull_rms,median_abs_pull,max_abs_pull
167,19,1.7312722637191158,1.3157781970070472,0.6328125475946133,3.2358884194336475
168,18,2.140035072219072,1.4628858712213582,1.1627272579932844,2.625161809747495
169,18,1.7958351848865841,1.3400877526813624,0.9300493181054408,2.975561754382164
170,17,1.66702257345373,1.29113228348366,1.1125626166070972,1.979731442371209
171,16,1.4554001535403467,1.2063996657577234,0.8490878193924787,2.7529666268135635
172,20,1.9803160554575356,1.4072370288823186,0.80756578928918,3.6480245309310373
173,19,5.023142262570016,2.2412367707518133,1.5349199995009204,4.743984375652031
174,15,1.7276008018407745,1.314382289077563,0.892497861602404,2.618409856249822
175,14,1.228186621293118,1.1082358148395666,0.9337487773683255,2.0277392612485485
176,16,1.222211406104833,1.105536705001165,0.8026873742515883,2.3303998436944897
177,16,1.0821087044249231,1.0402445406849887,0.4461738592905411,2.6087244312577367
178,16,1.6758879800551583,1.2945609217241028,1.2927671551945654,2.136382004722568
179,18,1.483859958258839,1.2181379060922615,0.9629744660107671,2.3147215292537675
180,17,3.6492560657428093,1.9103026110391017,0.870833906818687,5.095990132407457
181,18,1.1161598406286002,1.0564846618047041,0.49373029042860184,3.241191196113025
182,20,1.1512765567237329,1.0729755620347246,1.0214249167244276,1.8410319235521577
183,22,3.3248683399207817,1.8234221507705728,0.8128918825460076,5.450590246713316
184,13,1.4674329257332954,1.2113764591295704,0.7462343242169612,2.513986516589474
185,22,2.282354052960907,1.5107461907815314,1.1648135611744326,2.90656290363217
186,22,1.6422736791367667,1.2815122625776028,1.0016984520871666,2.3583780003804597
187,20,2.090360194901582,1.4458078001247545,1.0382092096483846,2.743356958904016
188,20,1.5852405937819904,1.259063379573082,1.1045806933710447,2.3442856693469256
189,20,1.6393096628782278,1.2803552877534532,0.9018057060840796,3.120361036106585
190,20,1.9543398033527517,1.3979770396371864,0.9560920304092704,2.8438207618821933
191,14,1.1463282891484403,1.070667216808491,0.921894293354315,1.8081387792048147
